generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9804182§1.9286945§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([3]))§675§0.014045671
2§1.957157§1.9276624§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§843§0.015804887
5§1.9445525§1.9240911§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§1343§0.0209801
506§1.9381312§1.9240911§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§105351§1.3278646
