generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9553529§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§671§0.023932256
2§1.9267267§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§837§0.025895987
503§1.8942022§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§104747§1.4813508
