generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.047615§0.6291943§Chromosome(steinerPoints=[(0.29340008, 0.71921235)], includedObstacleCornersIndices=set([]))§673§0.011291175
252§0.7239469§0.6286608§Chromosome(steinerPoints=[(0.2951057, 0.732707)], includedObstacleCornersIndices=set([]))§47901§0.25075513
753§0.6924108§0.6286608§Chromosome(steinerPoints=[(0.2951057, 0.732707)], includedObstacleCornersIndices=set([]))§162572§0.7425874
