generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3.1393614§2.7469525§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 5]))§670§0.15519513
3§2.9530568§2.7292259§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([6, 5, 7]))§1005§0.16481072
8§2.8129663§2.6983564§Chromosome(steinerPoints=[(0.39892283, 0.76258093)], includedObstacleCornersIndices=set([6]))§1848§0.18686488
11§2.7788792§2.6971488§Chromosome(steinerPoints=[(0.51829594, 0.6371554)], includedObstacleCornersIndices=set([5, 7, 6]))§2362§0.19993867
12§2.7746944§2.68063§Chromosome(steinerPoints=[(0.39892283, 0.76258093)], includedObstacleCornersIndices=set([6, 7]))§2535§0.20451088
15§2.7678316§2.6566076§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.39892283, 0.76258093)], includedObstacleCornersIndices=set([6, 7]))§3044§0.21880531
18§2.7572165§2.6469839§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([6, 7]))§3563§0.23488927
22§2.7277904§2.6271474§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.39892283, 0.76258093), (0.51651317, 0.8083226)], includedObstacleCornersIndices=set([7]))§4248§0.25780296
26§2.7081523§2.625307§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.39892283, 0.76258093), (0.9063096, 0.7126548), (0.51651317, 0.8083226)], includedObstacleCornersIndices=set([7]))§4936§0.28197402
29§2.6954856§2.6229618§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.14995065, 0.33265412)], includedObstacleCornersIndices=set([6, 7]))§5455§0.3016975
37§2.6719298§2.621329§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.51651317, 0.8083226), (0.39892283, 0.76258093), (0.9063096, 0.7126548), (0.42361334, 0.74961334)], includedObstacleCornersIndices=set([7, 6]))§6828§0.3567439
48§2.6640742§2.6176527§Chromosome(steinerPoints=[(0.39892283, 0.76258093), (0.51651317, 0.8083226), (0.42361334, 0.74961334), (0.14995065, 0.33265412), (0.9063096, 0.7126548), (0.5153314, 0.7933406)], includedObstacleCornersIndices=set([7]))§8753§0.43956432
50§2.6584196§2.61542§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([7]))§9101§0.45526484
62§2.6646113§2.6134179§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.14995065, 0.33265412), (0.54458016, 0.72617155)], includedObstacleCornersIndices=set([7]))§11234§0.5440109
75§2.658216§2.61266§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.54458016, 0.72617155), (0.14995065, 0.33265412), (0.49693203, 0.8248326)], includedObstacleCornersIndices=set([7]))§13579§0.64711577
291§2.6393993§2.6111836§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.14995065, 0.33265412), (0.49693203, 0.8248326), (0.5363921, 0.71811795)], includedObstacleCornersIndices=set([7]))§56369§2.4132931
378§2.6299634§2.6079865§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.5363921, 0.71811795), (0.49693203, 0.8248326), (0.18405944, 0.34717944)], includedObstacleCornersIndices=set([7]))§75751§3.1474204
759§2.6326954§2.6068063§Chromosome(steinerPoints=[(0.5363921, 0.71811795), (0.49693203, 0.8248326), (0.9063096, 0.7126548), (0.18405944, 0.34717944), (0.19109595, 0.2731637)], includedObstacleCornersIndices=set([7]))§164071§6.4787736
858§2.6228309§2.6061573§Chromosome(steinerPoints=[(0.49693203, 0.8248326), (0.18405944, 0.34717944), (0.9063096, 0.7126548), (0.5363921, 0.71811795), (0.18969879, 0.25034696)], includedObstacleCornersIndices=set([7]))§186958§7.4247
866§2.623248§2.605414§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.18405944, 0.34717944), (0.18969879, 0.25034696), (0.49693203, 0.8248326), (0.5363921, 0.71811795), (0.1757304, 0.34048048)], includedObstacleCornersIndices=set([7]))§188798§7.508959
868§2.6280496§2.6048055§Chromosome(steinerPoints=[(0.5363921, 0.71811795), (0.49693203, 0.8248326), (0.9063096, 0.7126548), (0.17230953, 0.21049117), (0.1779046, 0.22629413), (0.1702998, 0.33689427)], includedObstacleCornersIndices=set([7]))§189261§7.5306716
915§2.6219952§2.6044807§Chromosome(steinerPoints=[(0.49693203, 0.8248326), (0.1702998, 0.33689427), (0.5363921, 0.71811795), (0.9063096, 0.7126548), (0.17955829, 0.27466935)], includedObstacleCornersIndices=set([7]))§200223§8.003249
919§2.6179094§2.6040554§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.5363921, 0.71811795), (0.4860942, 0.8117321), (0.1702998, 0.33689427), (0.16753069, 0.25331944), (0.5260694, 0.719314)], includedObstacleCornersIndices=set([7]))§201153§8.04223
927§2.621997§2.6035376§Chromosome(steinerPoints=[(0.5363921, 0.71811795), (0.4860942, 0.8117321), (0.9063096, 0.7126548), (0.1702998, 0.33689427), (0.18511511, 0.23529328), (0.5260694, 0.719314)], includedObstacleCornersIndices=set([7]))§203014§8.121255
1428§2.619885§2.6033025§Chromosome(steinerPoints=[(0.9063096, 0.7126548), (0.1702998, 0.33689427), (0.17916246, 0.26592678), (0.52594113, 0.7108191), (0.4860942, 0.8117321)], includedObstacleCornersIndices=set([7]))§319370§12.473967
