generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§3260000500§12.622042§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([31]))§674§0.49084833
2§460000030§10.144281§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§842§0.49739844
11§240000020§10.132978§Chromosome(steinerPoints=[(5.1672354, 3.608791)], includedObstacleCornersIndices=set([]))§2354§0.5211929
257§240000020§10.128282§Chromosome(steinerPoints=[(4.9470925, 6.181321), (4.8213143, 3.615182)], includedObstacleCornersIndices=set([]))§49054§0.8701296
296§220000020§10.126732§Chromosome(steinerPoints=[(4.8213143, 3.615182), (4.833339, 4.854266)], includedObstacleCornersIndices=set([]))§57397§0.9377915
347§160000020§10.118767§Chromosome(steinerPoints=[(4.8213143, 3.615182), (4.833339, 4.854266), (4.8062253, 5.510128)], includedObstacleCornersIndices=set([]))§68648§1.0400491
440§300000000§10.113419§Chromosome(steinerPoints=[(4.8062253, 5.510128), (3.1573353, 2.6222517)], includedObstacleCornersIndices=set([]))§90088§1.2214038
441§160000020§10.0991125§Chromosome(steinerPoints=[(4.8062253, 5.510128), (3.1573353, 2.6222517), (4.821609, 3.6010861)], includedObstacleCornersIndices=set([]))§90337§1.2234125
532§180000020§10.096301§Chromosome(steinerPoints=[(4.821609, 3.6010861), (4.8062253, 5.510128), (3.2634447, 2.692563)], includedObstacleCornersIndices=set([]))§111491§1.4442462
768§160000020§10.094536§Chromosome(steinerPoints=[(3.2634447, 2.692563), (4.821609, 3.6010861), (4.875841, 5.83083)], includedObstacleCornersIndices=set([]))§166357§1.9987922
774§220000020§10.088789§Chromosome(steinerPoints=[(3.2634447, 2.692563), (4.821609, 3.6010861), (4.8195715, 5.9163465)], includedObstacleCornersIndices=set([]))§167757§2.0136175
962§140000020§10.087423§Chromosome(steinerPoints=[(4.821609, 3.6010861), (4.8195715, 5.9163465), (3.2394018, 2.640536)], includedObstacleCornersIndices=set([]))§211343§2.456182
1030§100000020§10.08633§Chromosome(steinerPoints=[(4.8413024, 3.5846028), (4.8336544, 5.942284), (3.2766645, 2.670562)], includedObstacleCornersIndices=set([]))§227128§2.6192403
1232§240000020§10.085314§Chromosome(steinerPoints=[(4.8256035, 5.9644356), (4.8449254, 3.5839434), (3.2517347, 2.6442876)], includedObstacleCornersIndices=set([]))§274118§3.1114988
1733§120000020§10.085126§Chromosome(steinerPoints=[(3.2517347, 2.6442876), (4.8449254, 3.5839434), (4.81957, 5.986336)], includedObstacleCornersIndices=set([]))§390536§4.2941394
