generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9467931§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§674§0.021961868
3§1.9134027§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§1014§0.025351495
504§1.9028327§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§104799§1.2655115
