generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.8654562§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§668§0.012991477
4§1.5076747§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§1170§0.01596388
505§1.1793518§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§105198§0.55504715
