generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.8244098§1.1206716§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§671§0.006266603
2§1.6524796§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§840§0.007183
503§1.1887543§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§104788§0.5634524
