generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.7999057§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§672§0.010607154
502§1.1714656§1.0502166§Chromosome(steinerPoints=[(0.48533857, 0.42264658)], includedObstacleCornersIndices=set([]))§104382§0.54773504
