generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9460304§1.8865021§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§674§0.014103623
4§1.9107509§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§1177§0.019203112
505§1.8979715§1.8818989§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§105200§1.2634727
