generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§1.9775016§1.9276624§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([]))§676§0.015326551
2§1.9600621§1.9240911§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§843§0.017166814
503§1.9387126§1.9240911§Chromosome(steinerPoints=[(0.8780974, 0.7732695)], includedObstacleCornersIndices=set([3]))§104743§1.3216312
