generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2640000500§10.144281§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([]))§672§0.3824768
7§200000020§10.132978§Chromosome(steinerPoints=[(5.1672354, 3.608791)], includedObstacleCornersIndices=set([]))§1679§0.39531425
60§339999970§10.122423§Chromosome(steinerPoints=[(5.1138353, 5.6268654)], includedObstacleCornersIndices=set([]))§10834§0.4594878
561§280000030§10.122423§Chromosome(steinerPoints=[(5.1138353, 5.6268654)], includedObstacleCornersIndices=set([]))§118100§1.0862439
